epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
1,0.7093633851960262,0.55,0.5384615384615384,1.0,0.78125,0.6977304629981518,0.22583881252131324,0.14899761341512208,0.4513113647699356,0.6180229831144466,0.3795540793000242,0.6906230993568897,80,78,20,1,ecoli,emb16_g64_e64_mean,False
2,0.6892881785736646,0.5625,0.5512820512820513,1.0,0.7875,0.6993175242096186,0.21020515673734158,0.2637260446324945,0.4443484584490458,0.4686913696060038,0.27674025922847645,0.6860175013542176,80,78,20,1,ecoli,emb16_g64_e64_mean,False
3,0.6872831477556408,0.55,0.5384615384615384,1.0,0.78125,0.7026607923209667,0.21537553037698132,0.2458221785724163,0.44639628728230796,0.62781425891182,0.3865459747726837,0.6878425933420658,80,78,20,1,ecoli,emb16_g64_e64_mean,False
4,0.6910089204042911,0.5375,0.5256410256410257,1.0,0.775,0.6979315247386694,0.20856503006175195,0.23785605616867542,0.4467257586392489,0.4585483114446529,0.2833580677479136,0.6859266206622123,80,78,20,1,ecoli,emb16_g64_e64_mean,False
5,0.6881197571115264,0.55,0.5384615384615384,1.0,0.78125,0.7012539848685264,0.21230170787349226,0.25423101112246516,0.44477981896627516,0.6508560037523452,0.40433367489140065,0.6872340761125088,80,78,20,1,ecoli,emb16_g64_e64_mean,False
6,0.6882670592846244,0.55,0.5384615384615384,1.0,0.78125,0.7053521297872066,0.2062304419940463,0.2951910080388188,0.44125779921358277,0.6853306754221389,0.43545456279129713,0.685368350148201,80,78,20,1,ecoli,emb16_g64_e64_mean,False
7,0.6860753094063368,0.525,0.5128205128205128,1.0,0.76875,0.6944895338267087,0.20208457446948086,0.29115082658827307,0.4411049437522888,0.4523334896810507,0.28533241869848586,0.6847997307777405,80,78,20,1,ecoli,emb16_g64_e64_mean,False
8,0.6872770836621762,0.5375,0.5256410256410257,1.0,0.775,0.6980303719639778,0.2036899315845122,0.2931895464658737,0.44169313192367554,0.6009615384615384,0.3703372914061854,0.6855151407420635,80,78,20,1,ecoli,emb16_g64_e64_mean,False
9,0.681193735500443,0.55,0.5384615384615384,1.0,0.78125,0.6988469652831555,0.2094211996660274,0.3098150361329317,0.4433596756147302,0.6720215759849906,0.42399260122939886,0.6872293189167976,80,78,20,1,ecoli,emb16_g64_e64_mean,False
10,0.6788802790098472,0.55,0.5384615384615384,1.0,0.78125,0.6943763710558415,0.20821695698569473,0.2965698905289173,0.4408391058444977,0.6121013133208255,0.3758929759305453,0.6867973268032074,80,78,20,1,ecoli,emb16_g64_e64_mean,False
11,0.6762416935638192,0.525,0.5128205128205128,1.0,0.76875,0.6936962589621544,0.20757190675287512,0.2722469568252563,0.4419830918312073,0.5722912757973734,0.3559439654042324,0.6867389999330044,80,78,20,1,ecoli,emb16_g64_e64_mean,False
12,0.6870810610838933,0.55,0.5384615384615384,1.0,0.78125,0.6844335153698922,0.21119765332384066,0.26438565514981743,0.4451562025045094,0.38332551594746717,0.2227700075520085,0.6879426911473274,80,78,20,1,ecoli,emb16_g64_e64_mean,False
13,0.6773726327329794,0.525,0.5128205128205128,1.0,0.76875,0.6898904290050268,0.20447064339051937,0.29320856332778933,0.440693399310112,0.5853072232645403,0.36311778817676277,0.6858190894126892,80,78,20,1,ecoli,emb16_g64_e64_mean,False
14,0.6739323533092683,0.5375,0.5256410256410257,1.0,0.775,0.695887403935194,0.1951512186811748,0.3181624721735716,0.4386858954316094,0.6345567542213885,0.39938961590343075,0.6823816455900669,80,78,20,1,ecoli,emb16_g64_e64_mean,False
15,0.6824050329965177,0.5375,0.5256410256410257,1.0,0.775,0.6811922643333673,0.20415113640606566,0.2673856243491173,0.4424876921317157,0.4013836772983114,0.23599433265837014,0.6850610241293907,80,78,20,1,ecoli,emb16_g64_e64_mean,False
16,0.6884163976834223,0.55,0.5384615384615384,1.0,0.78125,0.6835767745971679,0.19849136327528222,0.28591566421091563,0.4383399838751013,0.43105065666041276,0.23660468744472218,0.6830577440559864,80,78,20,1,ecoli,emb16_g64_e64_mean,False
17,0.6655899851155984,0.525,0.5128205128205128,1.0,0.76875,0.6888286922127008,0.19112920214088033,0.3010973207652569,0.4413661294513278,0.5651969981238274,0.3464244175361095,0.6792702801525593,80,78,20,1,ecoli,emb16_g64_e64_mean,False
18,0.6642315889491472,0.575,0.5641025641025641,1.0,0.79375,0.6789781752973795,0.2013188816847598,0.3133857600390911,0.44206349849700927,0.5844863977485928,0.36207227123323443,0.6836185604333878,80,78,20,1,ecoli,emb16_g64_e64_mean,False
19,0.6647511467377558,0.55,0.5384615384615384,1.0,0.78125,0.675268179923296,0.19799103765215045,0.29545182213187215,0.44372457414865496,0.3303236397748593,0.20193548676361628,0.6813689604401588,80,78,20,1,ecoli,emb16_g64_e64_mean,False
20,0.669404762759605,0.5625,0.5512820512820513,1.0,0.7875,0.677297430858016,0.1957927136459932,0.2939096797257662,0.4401336871087551,0.5297842401500937,0.33743823110048893,0.6797838397324085,80,78,20,1,ecoli,emb16_g64_e64_mean,False
21,0.6594335865079558,0.5375,0.5256410256410257,1.0,0.775,0.6807104662060738,0.1800668894037516,0.29862097576260566,0.43867388168970745,0.4832317073170731,0.3030127960153368,0.6730253860354424,80,78,20,1,ecoli,emb16_g64_e64_mean,False
22,0.6554261566646616,0.5375,0.5384615384615384,1.0,0.775,0.6716039288789034,0.18806118526760676,0.29582625292241577,0.4378510870431599,0.5041627579737337,0.3204380024523377,0.6760370299220085,80,78,20,1,ecoli,emb16_g64_e64_mean,False
23,0.6602897842991448,0.5875,0.5769230769230769,1.0,0.8,0.6656442897394299,0.1903542231469037,0.30969542711973186,0.4413241863250732,0.31496247654784243,0.1988079411042912,0.6748604461550712,80,78,20,1,ecoli,emb16_g64_e64_mean,False
24,0.6518313946257328,0.525,0.5128205128205128,1.0,0.76875,0.6673084996640682,0.19276825448792784,0.2623803228139877,0.4492133168073801,0.5912875234521576,0.3847875560538303,0.674636933207512,80,78,20,1,ecoli,emb16_g64_e64_mean,False
25,0.6452252462146749,0.575,0.5641025641025641,1.0,0.79375,0.6568570310249925,0.19166169581089443,0.31042120680212976,0.44354312910753135,0.3089821763602251,0.1988286120332341,0.6740862429141998,80,78,20,1,ecoli,emb16_g64_e64_mean,False
26,0.6723933708891472,0.5625,0.5512820512820513,1.0,0.7875,0.6607004968449474,0.1818774805374117,0.3100159611552954,0.43838020414114,0.3535412757973733,0.2091616556632116,0.6670722618699074,80,78,20,1,ecoli,emb16_g64_e64_mean,False
27,0.6421522541276252,0.5625,0.5641025641025641,1.0,0.7875,0.658845067769289,0.1869773492475661,0.2802403651177883,0.44765960772832236,0.5483114446529082,0.3559312835172005,0.6684471815824509,80,78,20,1,ecoli,emb16_g64_e64_mean,False
28,0.6364727022660641,0.5875,0.5769230769230769,1.0,0.8,0.6542350742965937,0.1799753303969775,0.3177671432495117,0.4431653469800949,0.3045262664165103,0.19649075787536144,0.6621568221598864,80,78,20,1,ecoli,emb16_g64_e64_mean,False
29,0.6443382282678947,0.5625,0.5641025641025641,1.0,0.7875,0.6495073737576604,0.1885832202227044,0.27980247549712656,0.44465103149414065,0.4496364915572233,0.28478935533184335,0.6662111893296242,80,78,20,1,ecoli,emb16_g64_e64_mean,False
30,0.6330363639398171,0.5625,0.5641025641025641,1.0,0.7875,0.6513028729707002,0.18127027687790812,0.29391550011932854,0.44634052935768576,0.3283302063789869,0.20292906425112242,0.6593621846288442,80,78,20,1,ecoli,emb16_g64_e64_mean,False
31,0.6306241000465669,0.5625,0.5641025641025641,1.0,0.7875,0.6488164190202952,0.18319461335712903,0.29534806683659554,0.44010868668556213,0.4218456848030019,0.26862769095010686,0.6591486874967813,80,78,20,1,ecoli,emb16_g64_e64_mean,False
