epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.7141108442061018,0.6323529411764706,0.6507936507936508,1.0,0.8161764705882353,0.6941473909708507,0.2239013684651908,0.16250050056944867,0.43187183141708374,0.7044884488448845,0.44598075079673394,0.6753868048681932,68,63
2,0.7131800861051767,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.7603950113715494,0.2195884116072106,0.15900224778691635,0.4553996523221334,0.34851485148514855,0.20905419666283748,0.6708031302208409,68,63
3,0.703099256498192,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.6906250211245873,0.2225059994271667,0.194854579427663,0.45606489976247155,0.561980198019802,0.3454582149332721,0.6852301481892081,68,63
4,0.6871361317414262,0.6617647058823529,0.6666666666666666,1.0,0.8308823529411765,0.6808624482330154,0.217382924689965,0.18753668775453292,0.4472338199615479,0.6805280528052805,0.4403898688239104,0.6802402910064248,68,63
5,0.6864617618397124,0.6470588235294118,0.6349206349206349,1.0,0.8235294117647058,0.7042161121087915,0.2202292656475353,0.1902392890085192,0.4455698927243551,0.46528052805280534,0.3028871688826079,0.6799475822378608,68,63
6,0.7249362911328231,0.5441176470588235,0.5238095238095238,1.0,0.7720588235294118,0.7664327858673299,0.21362790553174615,0.12504960415775285,0.4367028921842575,0.35267326732673265,0.22021835078521096,0.6677708886015941,68,63
7,0.6959093453073659,0.6470588235294118,0.6507936507936508,1.0,0.8235294117647058,0.6822882568573251,0.21200695890291768,0.21347567351425392,0.44285680850346887,0.637029702970297,0.40919679843127876,0.6797570025219637,68,63
8,0.6858546363048428,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6836496902739301,0.20637153874796893,0.20983700717196746,0.4477783143520355,0.6305610561056105,0.40608025359752425,0.6807755941853804,68,63
9,0.6842910610999998,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.678411891355234,0.21567392319129677,0.1939880208057516,0.4482389029703642,0.5294389438943894,0.3401722105127835,0.6880563041743111,68,63
10,0.6858991443520726,0.6323529411764706,0.6031746031746031,1.0,0.8161764705882353,0.694467168958748,0.20932483110368286,0.2286045224789311,0.44825594955020476,0.41095709570957095,0.2473798471191494,0.6835826394312522,68,63
11,0.6800674743974956,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.6813464949236196,0.21052461280245088,0.22953805765684915,0.4511100471019745,0.49102310231023105,0.32334070593110503,0.6846487250398187,68,63
12,0.681735088722934,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6842908712432665,0.2056459206861044,0.17601801959030766,0.45423316955566406,0.47531353135313525,0.32505665986224,0.6777295145918342,68,63
13,0.675184952937337,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6709501283133731,0.20924058184641198,0.18223656188039217,0.4575216869513194,0.6271287128712871,0.423002974989914,0.6811966650626239,68,63
14,0.6676966074866431,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.6788483507492963,0.20932695817827868,0.19896741781164615,0.45489358305931094,0.5082508250825082,0.31483701661679214,0.6840537207968095,68,63
15,0.6676660878430105,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6774012516526615,0.20721178218995587,0.19550409452880133,0.4395452678203583,0.4619141914191419,0.2712859493181767,0.6820693717283361,68,63
16,0.6709354059530956,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6804923156605047,0.1997430269186176,0.24175636492231314,0.4597813870225634,0.4421782178217821,0.25507684862980273,0.676824631059871,68,63
17,0.6667012829985163,0.5882352941176471,0.5873015873015873,1.0,0.7941176470588235,0.6766775868394795,0.19975168541477833,0.2302088148015387,0.44688919484615325,0.5674587458745874,0.3806969070685647,0.6805264949798584,68,63
18,0.6615096583421475,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.6797656368683366,0.1984665411796339,0.2122171966030317,0.45314240029879976,0.4418481848184818,0.2608432088655272,0.6774077231393141,68,63
19,0.6649428239159851,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6855955128284061,0.19197621791977482,0.2582245684941025,0.4542447626590729,0.4275907590759076,0.24746648320055448,0.6672535065342399,68,63
20,0.6663927923728137,0.5588235294117647,0.5555555555555556,1.0,0.7794117647058824,0.7172935057212325,0.19109540361721877,0.21660366018905364,0.44666660726070406,0.32594059405940595,0.19629867320085498,0.6675600898178184,68,63
21,0.6594651610937843,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6616918701021111,0.18855340920966768,0.1966624492231537,0.44574692845344543,0.611947194719472,0.4117321078729131,0.6649905359920334,68,63
22,0.6546834873484306,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.7136207440977588,0.1840840940681923,0.26155494227457576,0.45126621590720284,0.3737953795379538,0.23563523936810526,0.6564476544804433,68,63
23,0.6588234737171198,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.6735560727470061,0.1879571012717666,0.3011801898041192,0.44312911683862855,0.4150495049504951,0.23458456974028633,0.6741075445623959,68,63
24,0.6480817328585257,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6711502715068705,0.191696331919804,0.3042600367437391,0.45161137481530506,0.4974917491749175,0.3123754917517488,0.6748227468308281,68,63
25,0.6512628286191733,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6561517576303553,0.18309637147695998,0.2315553935135112,0.4482584169932774,0.5764356435643564,0.3818735505445072,0.6624298345516709,68,63
26,0.6486873268687686,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.715209020411267,0.17789244050984543,0.2646467619000332,0.4496448040008545,0.34752475247524756,0.20248106788234455,0.6473841888501364,68,63
27,0.6591017320998037,0.5735294117647058,0.5555555555555556,1.0,0.7867647058823529,0.6697948268231224,0.17465597410980027,0.24687416018808586,0.45531027231897625,0.4681848184818481,0.27988275830687015,0.6485039236790994,68,63
28,0.650908103673765,0.5735294117647058,0.5555555555555556,1.0,0.7867647058823529,0.6804891677902025,0.17889166204834758,0.21074358888846986,0.4448326677083969,0.3716831683168317,0.21543718102715864,0.6527693444753394,68,63
29,0.6347903673208193,0.5735294117647058,0.5873015873015873,1.0,0.7867647058823529,0.6659157460226732,0.1865154094344558,0.2105785674032043,0.45459525783856713,0.48818481848184825,0.3120618400719195,0.6662566845907885,68,63
30,0.6322509920833135,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.7378254197811818,0.18400980102779407,0.1866967391996535,0.4517872631549835,0.32158415841584154,0.19141535946195898,0.6475004700067288,68,63
31,0.6512750754065246,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.6968719398274141,0.18322674695337499,0.2006577768308275,0.4522700409094493,0.3455445544554455,0.1970644815043524,0.6534247735843939,68,63
32,0.6232666461774619,0.5147058823529411,0.5238095238095238,1.0,0.7573529411764706,0.658712041509502,0.18271905119736556,0.24641084013616338,0.4516230821609497,0.37531353135313533,0.20459098354318994,0.6625115722417831,68,63
33,0.6284103220445488,0.5735294117647058,0.5714285714285714,1.0,0.7867647058823529,0.6678230028380366,0.18487120684549935,0.23519041893236778,0.4517611993683709,0.3520792079207921,0.19902901005149504,0.6618089027264539,68,63
34,0.6171217756499552,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.6524816050248987,0.18523598767606367,0.19311246319728742,0.45732043044907705,0.42343234323432344,0.21898936256080453,0.6655934637083727,68,63
35,0.6228142192851592,0.5147058823529411,0.49206349206349204,1.0,0.7573529411764706,0.7020591547822251,0.17389439849376567,0.24416239989702318,0.45027801394462585,0.3432343234323432,0.19585992105063396,0.6411725896246293,68,63
36,0.6239452089610273,0.5294117647058824,0.5238095238095238,1.0,0.7647058823529411,0.6803319630596567,0.1749057725979665,0.20431519825668898,0.44963305195172626,0.38231023102310235,0.20596055820930137,0.6494182725163067,68,63
37,0.608297864792764,0.5147058823529411,0.49206349206349204,1.0,0.7573529411764706,0.6711587040301632,0.17248926563559047,0.24428606416810963,0.45059269666671753,0.381980198019802,0.20596807715929166,0.6470354037249789,68,63
38,0.6063541043119463,0.5147058823529411,0.5238095238095238,1.0,0.7573529411764706,0.6455769089653212,0.1702363549539391,0.24079841967014703,0.4463850004332406,0.49287128712871286,0.29823013778717244,0.6444362174062168,68,63
39,0.611539916040087,0.5147058823529411,0.49206349206349204,1.0,0.7573529411764706,0.698829545694239,0.1684566526783596,0.23453726214082807,0.4487385228276253,0.3411881188118812,0.19556456961822832,0.6313041393809459,68,63
40,0.6200402021998226,0.5294117647058824,0.5079365079365079,1.0,0.7647058823529411,0.687898457817295,0.16346088400780445,0.2252007747781189,0.4448496878147125,0.369042904290429,0.20286517753505506,0.6222662145600599,68,63
