acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,variant,params
0.5621414913957935,0.5513078470824949,0.9980879541108987,0.7826641172721478,0.6877299891945053,0.22790588146912263,0.1302923245024271,0.45532816746195803,0.633023092662964,0.38090789009164294,0.691812909925873,523,497,emb16_g32_e64_mean,6257
0.5487571701720841,0.5412474849094567,1.0,0.7762906309751434,0.6908660543010522,0.23311643993999437,0.08964273966065325,0.45716334272313996,0.6917790119847997,0.4136480093159259,0.6928932491269668,523,497,emb32_g64_e32_mean,10817
0.5430210325047801,0.5331991951710262,1.0,0.7734225621414914,0.6956269653303901,0.21429432469596493,0.22001470009979734,0.44403840775962344,0.5551955568547208,0.33513154687315505,0.688862838378144,523,497,emb16_g64_e16_mean,7553
0.5315487571701721,0.5291750503018109,1.0,0.7676864244741873,0.6939839912760098,0.23182850901836619,0.0717701195359914,0.4465421310492924,0.6787114878690442,0.3887458214618768,0.6902568021194428,523,497,emb16_g128_e32_mean,27313
0.5296367112810707,0.5271629778672032,0.9980879541108987,0.7664117272147865,0.6912448696122571,0.23369879522430984,0.06222493137387878,0.451210095332219,0.5931318327974276,0.3580436414658267,0.6891162544773823,523,497,emb32_g32_e64_mean,6849
0.5219885277246654,0.5251509054325956,0.9980879541108987,0.7625876354365838,0.6957455322174907,0.23368808951704015,0.07236952384502895,0.4442952573299408,0.7000327389652148,0.3981202578991861,0.6901873700021558,523,497,emb16_g128_e64_mean,35729
0.5277246653919694,0.5231388329979879,0.9980879541108987,0.7654557042702358,0.6814626363652756,0.20424193800268955,0.2019866952248787,0.442500709117144,0.5482081262788658,0.3179547321533497,0.6795186588601219,523,497,emb16_g16_e32_mean,1889
0.5277246653919694,0.5231388329979879,0.9980879541108987,0.7654557042702358,0.6839827349606232,0.19332031920185405,0.24403028878210611,0.4393104594945908,0.4594983922829582,0.28856012353680344,0.6739172482075986,523,497,emb16_g16_e64_mean,3137
0.5219885277246654,0.5191146881287726,0.9980879541108987,0.7625876354365838,0.6912442208988945,0.2323676213169107,0.05265056619680632,0.44701703957148964,0.7171973107278573,0.43071494807239796,0.6902783747840794,523,497,emb16_g64_e64_mean,14033
0.5200764818355641,0.5191146881287726,0.9980879541108987,0.7616316124920331,0.6995646367579642,0.19236606011697432,0.14936673873412218,0.4394526166074416,0.3260871090324467,0.1861719854324652,0.6653385305381869,523,497,emb16_g32_e16_mean,2849
