epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.7666808811351411,0.5441176470588235,0.5396825396825397,1.0,0.7720588235294118,0.7000895249657333,0.22653434268585967,0.06138500478118657,0.43373309075832367,0.6064026402640265,0.4061029858433054,0.6728236239184352,68,63
2,0.7006156435697386,0.5735294117647058,0.5555555555555556,1.0,0.7867647058823529,0.6918880729114308,0.22833419362630658,0.13958791818688895,0.4567403495311737,0.3295709570957096,0.19795257208117228,0.6862281070036047,68,63
3,0.7020821483811923,0.5735294117647058,0.5714285714285714,1.0,0.7867647058823529,0.7299619964597857,0.22368761466275905,0.11602153026444073,0.45076069235801697,0.3075907590759076,0.19292994430371557,0.6713528580525342,68,63
4,0.7009144971276274,0.5735294117647058,0.5714285714285714,1.0,0.7867647058823529,0.6961909685941303,0.2288944165062422,0.12442367743043337,0.4609455466270447,0.3096369636963696,0.19505565944583436,0.6844906920895857,68,63
5,0.6874849470731842,0.5441176470588235,0.5396825396825397,1.0,0.7720588235294118,0.6864608692772248,0.2312496670673871,0.07102188073536927,0.42837703227996826,0.47518151815181525,0.31066029297318043,0.6875384695389691,68,63
6,0.692820555404468,0.5441176470588235,0.5396825396825397,1.0,0.7720588235294118,0.6979333946810049,0.231012391231293,0.1279008099261452,0.4603840112686157,0.30547854785478545,0.2018658880071847,0.6884543317205766,68,63
7,0.6898059448589979,0.5588235294117647,0.5238095238095238,1.0,0.7794117647058824,0.7012881439398316,0.22779935276999974,0.1248401640092626,0.4508596360683441,0.3093729372937294,0.21065417083260848,0.6859375878291971,68,63
8,0.6920380460547142,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.6992410929764018,0.22729119089442734,0.13981331271283773,0.44064861536026,0.3199339933993399,0.19968365888517492,0.6856302163180183,68,63
9,0.6898777506532449,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.696618527173996,0.22702821786343275,0.1806487313964787,0.4420967102050781,0.32904290429042904,0.20447677448026888,0.6844089565908208,68,63
10,0.688056355557426,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.6929123392876457,0.22546851403168966,0.19384253989247718,0.43797940015792847,0.36013201320132016,0.2070483687140047,0.682764041949721,68,63
11,0.689520001608153,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.7025498281068662,0.22412220482330797,0.14719415105441042,0.4297156035900116,0.32627062706270626,0.19390244188187647,0.6805623725933188,68,63
12,0.6901125355128801,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.6900538291563006,0.2251054572111471,0.12181206179015776,0.4309562345345815,0.3440264026402641,0.1963797230139999,0.6837782009559519,68,63
