epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.7367701298332844,0.4411764705882353,0.4126984126984127,1.0,0.7205882352941176,0.7173994430066908,0.21326629123795715,0.19587931732701908,0.4525512494146824,0.3240924092409241,0.19935608005814348,0.6727575554567224,68,63
2,0.7228757897422652,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7773423163384637,0.21931444398766745,0.12889648274080281,0.44535695016384125,0.26653465346534655,0.18616563893062582,0.6657782869194361,68,63
3,0.719159741606256,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7081809740732697,0.2210035611584893,0.14879321142592844,0.44944391080311363,0.30211221122112214,0.19026531314951173,0.6801494395031649,68,63
4,0.6933666798147825,0.5882352941176471,0.5555555555555556,1.0,0.7941176470588235,0.6801028326153755,0.2227961261039113,0.12619962411768296,0.4318762421607971,0.4637623762376238,0.3007263176681447,0.6874805145403918,68,63
5,0.6875029957727237,0.5294117647058824,0.5079365079365079,1.0,0.7647058823529411,0.7118158168433344,0.21322974661741553,0.07030238682294591,0.44303376674652095,0.361980198019802,0.24768537759368775,0.6739548593759537,68,63
6,0.6992957802495547,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.7371970416758867,0.21193736419726794,0.15325032642987718,0.4414604604244232,0.31584158415841584,0.20356577803283232,0.6694724785492701,68,63
7,0.6972016113819463,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.6750751539845677,0.21179779988629316,0.09555170422091197,0.4410342872142792,0.5654785478547855,0.36506973743807786,0.6733799471574671,68,63
8,0.6843460748101226,0.5882352941176471,0.5555555555555556,1.0,0.7941176470588235,0.6842844387625947,0.21024042014453032,0.13756792970439968,0.4512924253940582,0.4788778877887788,0.29667722871675367,0.6752128750085831,68,63
9,0.683881131335847,0.5735294117647058,0.5555555555555556,1.0,0.7867647058823529,0.68825312616194,0.2103187872405006,0.15439656508319521,0.45641640822092694,0.4041584158415842,0.25462809206199416,0.6795410952147316,68,63
10,0.6841788077511803,0.5882352941176471,0.5873015873015873,1.0,0.7941176470588235,0.6791497166542446,0.21527298631483732,0.1468658114180845,0.4481423695882162,0.5817161716171617,0.37813767337441573,0.6841722700525733,68,63
