epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.6964910016594941,0.47058823529411764,0.42857142857142855,1.0,0.7352941176470589,0.7140248553717837,0.21633530159882894,0.10204529893748902,0.4449060559272766,0.284026402640264,0.18827401814639189,0.6825596155489192,68,63
2,0.6934971692341783,0.5294117647058824,0.49206349206349204,1.0,0.7647058823529411,0.6986880210392615,0.22218918556147607,0.11207490677342694,0.44701509177684784,0.38646864686468646,0.22726584852967185,0.6878200243501102,68,63
3,0.6883542703913383,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.6820046296891045,0.2272297002838642,0.13214460190604715,0.4494205845726861,0.6302310231023103,0.37076028496795593,0.6910416746840757,68,63
4,0.6900716215470443,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7005824394085828,0.21713919831161088,0.14732800971935783,0.44954758882522583,0.4681848184818481,0.2915070655161767,0.6823906644302256,68,63
5,0.6911554285401952,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.6773127277984339,0.21356866213215278,0.12931019944303176,0.45120721459388735,0.7331353135313531,0.4528694885769797,0.6830896577414345,68,63
6,0.687332941065527,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7060505852979773,0.2181135395208796,0.14761238282217698,0.4518010765314102,0.42389438943894386,0.26451581685329123,0.6810637870255638,68,63
7,0.6904603290085746,0.5294117647058824,0.5079365079365079,1.0,0.7647058823529411,0.6876823626020375,0.22678818039447513,0.11793185156934395,0.44827158961977276,0.5283828382838284,0.29649785671382023,0.6910129925783943,68,63
8,0.6956716075588768,0.5441176470588235,0.5396825396825397,1.0,0.7720588235294118,0.6856355653966174,0.22172090904536268,0.14099527851623647,0.45587192972501117,0.5827062706270627,0.34022369563036003,0.6893540384138331,68,63
9,0.6982361699881727,0.5147058823529411,0.49206349206349204,1.0,0.7573529411764706,0.750171785516774,0.21194546730190905,0.15262117316288987,0.44963357514805263,0.3359735973597359,0.21791989842135462,0.669849338776925,68,63
10,0.6912047530558243,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.687025790267131,0.22226110383729383,0.14338689867187954,0.44843025505542755,0.4734653465346534,0.28308497834369933,0.6901087489198235,68,63
11,0.6896839658222577,0.5147058823529411,0.49206349206349204,1.0,0.7573529411764706,0.6965275748687632,0.21762739005044776,0.15180676211329067,0.455673235654831,0.5033663366336634,0.2771633755091789,0.6878243526991676,68,63
12,0.6773285549072543,0.4852941176470588,0.4444444444444444,1.0,0.7426470588235294,0.7268453643602484,0.2051053023303244,0.20508566772674813,0.45413432021935785,0.36125412541254126,0.21784788229359042,0.6756430329645381,68,63
13,0.705967910612377,0.4852941176470588,0.4603174603174603,1.0,0.7426470588235294,0.730859645149287,0.20826425486179154,0.2083300711477504,0.45413505037625634,0.3603300330033003,0.21876300722493464,0.6735904729541611,68,63
14,0.6818698432185862,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.6796295119120794,0.20835324463945937,0.18304188856307202,0.4469955884493314,0.6184158415841583,0.39231007976398347,0.6803334425477421,68,63
