reference,assembly,total,aligned,pct_aligned,avg_len,avg_mm
Klebsiella_pneumoniae_subsp_pneumoniae_NTUH-K2044_DNA.fasta,ai_assembled_klebsiella_k21_cov20_04_01.fa,11975,7098,59.3,1479.6,0.07
Klebsiella_pneumoniae_subsp_pneumoniae_NTUH-K2044_DNA.fasta,heurstic_assembled_klebsiella_k21_cov20_04_01.fa,11015,6231,56.6,1677.9,0.09
