reference,assembly,total,aligned,pct_aligned,avg_len,avg_mm
Proteus-mirabilis.fasta,ai_assembled_proteus_k21_cov20_04_01.fa,7760,4672,60.2,1568.2,0.22
Proteus-mirabilis.fasta,heurstic_assembled_proteus_k21_cov20_04_01.fa,6637,3679,55.4,2029.5,0.16
