epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.73476789701059,0.550561797752809,0.5476190476190477,1.0,0.7752808988764045,0.7042629388945826,0.22534995661986265,0.10128127796094068,0.44683758020401,0.712054581905193,0.37964146939953874,0.6728303464276068,89,84
2,0.6977063717308992,0.5955056179775281,0.5952380952380952,1.0,0.797752808988764,0.6975174915003642,0.2236793989316734,0.15538940218727237,0.44429566462834674,0.6745780249628144,0.36076974550588287,0.6746007406644607,89,84
3,0.7206884754370458,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.7010552903658218,0.2195812231767964,0.08830314255162576,0.4357668936252594,0.602405742740736,0.3066545417054017,0.6731498680087957,89,84
4,0.6970975232420501,0.6179775280898876,0.5952380952380952,1.0,0.8089887640449438,0.6871183487806427,0.23498536101529927,0.14136266440487985,0.43737733364105225,0.6273685572010607,0.288947239596696,0.691677773936411,89,84
5,0.7190666614111906,0.5842696629213483,0.5714285714285714,1.0,0.7921348314606742,0.7509854745036095,0.21866705634803404,0.14736771658900072,0.45107875764369965,0.5174610360214706,0.24617112999031662,0.6664387109909164,89,84
6,0.7118915525282392,0.5730337078651685,0.5595238095238095,1.0,0.7865168539325843,0.7235165282618254,0.22268431579188724,0.09558313356691533,0.44948385655879974,0.680366035051413,0.355061526326298,0.6642623258273254,89,84
7,0.7029429273575729,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6986780417769143,0.2288115250702229,0.0891379116291411,0.45346201658248897,0.4455797710664166,0.1989821243930989,0.6863049737523111,89,84
8,0.6944462448173429,0.5842696629213483,0.5595238095238095,1.0,0.7921348314606742,0.6850271365615759,0.23027943606709356,0.11623318476623361,0.44465717673301697,0.546950785746621,0.2441798823980829,0.6908454519979069,89,84
9,0.6950939959620837,0.6067415730337079,0.5833333333333334,1.0,0.8033707865168539,0.7011263049050663,0.22477399791866612,0.1612666729795799,0.44750653207302094,0.45734980275496345,0.19988303101602173,0.6833645955900128,89,84
10,0.6972908493154537,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6839216713155254,0.22624666314348785,0.08976696850208753,0.451396144926548,0.5616633253573046,0.2916132664623749,0.6875340325778789,89,84
11,0.6999752904317393,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.7002903624029642,0.21542199033944176,0.11865494094705309,0.45050203800201416,0.5419711569553126,0.28827013434853044,0.6710486929403262,89,84
12,0.6946875234568342,0.5730337078651685,0.5476190476190477,1.0,0.7865168539325843,0.6813336949000198,0.22575742584690361,0.12424773044800495,0.45136240124702454,0.5229903640949364,0.2736372875000159,0.6883391670966417,89,84
13,0.6908958937070384,0.5730337078651685,0.5714285714285714,1.0,0.7865168539325843,0.6776519025979417,0.22567791895207978,0.1204324722959754,0.45466297268867495,0.5733686865420682,0.3131262575002926,0.6875489668899708,89,84
14,0.6932968037469046,0.5730337078651685,0.5595238095238095,1.0,0.7865168539325843,0.6765364276224308,0.2259816771390067,0.12099888150611617,0.45139245011589746,0.5717842591993791,0.3050170658406555,0.6879513873143143,89,84
15,0.6937264671236832,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6776370086361853,0.22335503325818287,0.11939979503663732,0.4501605212688446,0.5017137683502555,0.2679619698991377,0.6865445616539945,89,84
16,0.698625081518422,0.5842696629213483,0.5595238095238095,1.0,0.7921348314606742,0.7027791820393269,0.21248959089465286,0.1562083565493983,0.4484971080507551,0.5416801396882882,0.28986262934927964,0.6666854138622124,89,84
17,0.7178039564849427,0.6292134831460674,0.6071428571428571,1.0,0.8146067415730337,0.6795032536715604,0.22314679682675145,0.16491985521959454,0.44444000720977783,0.43859535665782834,0.20549099115512537,0.6889608890822764,89,84
18,0.6927453032931926,0.5955056179775281,0.5714285714285714,1.0,0.797752808988764,0.6776511354392833,0.2139274261006975,0.1712215028786927,0.44596849594797405,0.5145508633512255,0.2780641013733594,0.6778483564934034,89,84
19,0.682782855093109,0.5955056179775281,0.5714285714285714,1.0,0.797752808988764,0.6840271676859159,0.21299717809925509,0.21484159234534492,0.44485222751444037,0.4309965724632995,0.19598542558720433,0.6824531166741018,89,84
20,0.6922180908807316,0.6292134831460674,0.6071428571428571,1.0,0.8146067415730337,0.6709747779905126,0.21657437015509626,0.18906469559401606,0.4440450966358185,0.4803401668498998,0.22261173506566154,0.6859515262453744,89,84
21,0.6863721396612085,0.6179775280898876,0.5952380952380952,1.0,0.8089887640449438,0.6679429900780153,0.21783364416609538,0.16696929127982493,0.44632089883089066,0.533272974196469,0.2889364082270635,0.6830504124753931,89,84
22,0.6820455811778952,0.5955056179775281,0.5714285714285714,1.0,0.797752808988764,0.6660652297936128,0.21556066977083224,0.16560188438115495,0.4451307696955545,0.5270646058332795,0.2573160426796919,0.6852238456184945,89,84
23,0.6982391495141924,0.550561797752809,0.5238095238095238,1.0,0.7752808988764045,0.6822394284555752,0.19666120528869624,0.2287973404935237,0.440615314245224,0.45828752505982023,0.25701918459375545,0.6706378538621945,89,84
