epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.7153526981424841,0.5168539325842697,0.5119047619047619,1.0,0.7584269662921348,0.7705134851334805,0.21787783232538555,0.0964088960540261,0.4384979265076773,0.3925499579641726,0.22607932533357444,0.6670283398099159,89,84
2,0.703236350583734,0.5280898876404494,0.5119047619047619,1.0,0.7640449438202247,0.6961501270867465,0.231658850341739,0.07327297631274449,0.451358899474144,0.6121709888120028,0.2982808633686188,0.690099768424302,89,84
3,0.6948780110904149,0.5056179775280899,0.4880952380952381,1.0,0.7528089887640449,0.7044936585543531,0.22414960893243607,0.057314265896095354,0.4505724012851715,0.6029877772747849,0.3101924874991268,0.675030080287644,89,84
4,0.7001680929468285,0.5168539325842697,0.4880952380952381,1.0,0.7584269662921348,0.6917500037155794,0.23467467002844464,0.0640967448105973,0.4404655992984772,0.6217745586238117,0.3009418585734106,0.6912413319844878,89,84
5,0.693500576478354,0.5280898876404494,0.5,1.0,0.7640449438202247,0.6875774128718323,0.23341665260246158,0.05041518874382703,0.4323071390390396,0.6439565414214576,0.33809975304912565,0.6886251957229014,89,84
6,0.6979637553232797,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6911197211802675,0.2294592375537069,0.10075852793923924,0.46007780234018963,0.6493888637392485,0.3441372542560993,0.6844556435440363,89,84
7,0.6918810656352072,0.550561797752809,0.5357142857142857,1.0,0.7752808988764045,0.6987220249818952,0.23342891751558417,0.08251447523577832,0.44481716553370154,0.5579447713897692,0.269216378798518,0.6885321776518661,89,84
8,0.6963904388202643,0.5280898876404494,0.5119047619047619,1.0,0.7640449438202247,0.7004412037602971,0.23026010887497517,0.07055111698220284,0.4416359861691793,0.5149712216258164,0.23806906321271873,0.6879861592576745,89,84
9,0.6905376797137053,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.6877921973721365,0.23507884544238247,0.06484866209244461,0.45668551325798035,0.6532367587143504,0.33718461339703487,0.6906009463781722,89,84
10,0.6965315362681513,0.5280898876404494,0.5,1.0,0.7640449438202247,0.6936059579085768,0.22457190293514329,0.08463649250818103,0.44721158742904665,0.6318954924658863,0.3274061963154364,0.6818001484603025,89,84
11,0.692596733718185,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.6926745343744085,0.22950298231303667,0.0931376429756036,0.4499540328979492,0.4981245553902865,0.2178539198505623,0.6899891033601225,89,84
12,0.6942576671239011,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.6947127265876598,0.2284580289630647,0.104338477836566,0.4463832020759583,0.4665006790402897,0.19947734567734918,0.6900490274590053,89,84
13,0.6985490165882229,0.5280898876404494,0.5119047619047619,1.0,0.7640449438202247,0.6962737048442444,0.22402808039541675,0.08319171961773646,0.45628947019577026,0.6174416348703357,0.3194181304888068,0.6804921285489972,89,84
14,0.693527831276011,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.6911317796519633,0.23539234432373474,0.0663876469885366,0.4559223800897598,0.6402379874539224,0.3280141860156487,0.6913978738731212,89,84
15,0.6913737123797399,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.688914333166701,0.22978239286500193,0.11502844564030683,0.4442238688468933,0.6244583845308155,0.32800041051690276,0.6885947082819563,89,84
