epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles
1,0.8120661132083916,0.47191011235955055,0.4642857142857143,1.0,0.7359550561797753,0.7419830223707629,0.21379983179863052,0.10044059852724166,0.4394095063209534,0.6892258940697148,0.3591929566118395,0.6598405248663398,89,84
2,0.7133985773376796,0.4606741573033708,0.4523809523809524,1.0,0.7303370786516854,0.7529637480384848,0.21972605012329058,0.07333948494594414,0.45420297235250473,0.33282674772036475,0.17671182042421033,0.6660730571726735,89,84
3,0.7065571970821167,0.5056179775280899,0.5,1.0,0.7528089887640449,0.7029203277374252,0.2226107430259551,0.06935346427928192,0.4476303458213806,0.6912306796869948,0.3745529790103644,0.6749892326888074,89,84
4,0.7096157238350151,0.5168539325842697,0.5238095238095238,1.0,0.7584269662921348,0.6965517528941122,0.22586049704395525,0.10821646451950068,0.4460373563425882,0.6763241285649615,0.36512692697734694,0.6860678155770462,89,84
5,0.6996865002264888,0.43820224719101125,0.4166666666666667,1.0,0.7191011235955056,0.6947941261061122,0.23493367875822066,0.10755089461133721,0.4386099725961685,0.4236241350320119,0.1955239181951379,0.6903796778636032,89,84
6,0.6974610588565376,0.4943820224719101,0.4880952380952381,1.0,0.7471910112359551,0.6882045364446854,0.23184370283023134,0.06747035983573185,0.4574434906244278,0.6220009053870529,0.3319313167828447,0.6864759165249513,89,84
7,0.7003024548477268,0.4044943820224719,0.39285714285714285,1.0,0.702247191011236,0.6870639150062304,0.23634100365634145,0.14146060622140263,0.4565896689891815,0.5463040807087888,0.2488596478867528,0.6902185557933336,89,84
8,0.6960971888548099,0.4943820224719101,0.5,1.0,0.7471910112359551,0.693143085649844,0.2310583993286969,0.045847053440769045,0.4432670474052429,0.6781995731746752,0.3570935804826193,0.6858143063073747,89,84
9,0.7061725024851213,0.5393258426966292,0.5357142857142857,1.0,0.7696629213483146,0.7264736439572291,0.22979897819309988,0.06187649556760032,0.4322960376739502,0.36635840393196667,0.16585568065070685,0.67664810479357,89,84
10,0.700100226579986,0.5617977528089888,0.5714285714285714,1.0,0.7808988764044944,0.697795446920261,0.22607862484711988,0.09339155826006033,0.45303795735041297,0.6739959904287655,0.3563400539924488,0.679192810246114,89,84
11,0.7051689718821034,0.5393258426966292,0.5357142857142857,1.0,0.7696629213483146,0.6888594965586502,0.23109448009059547,0.07496266853943293,0.4446278711160024,0.6093578218974325,0.3245351874197423,0.6835598587320092,89,84
