acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,variant,params
0.6897689768976898,0.6749116607773852,1.0,0.8448844884488449,0.5826924625206309,0.17930283901231794,0.20783548770171187,0.44517840101168704,0.4659674686546933,0.23524398342032107,0.6487002686502124,303,283,emb16_g64_e64_mean,14033
0.6864686468646864,0.6713780918727915,1.0,0.8432343234323433,0.5888305663472355,0.18105266966001687,0.20487568579097787,0.44368328218874725,0.474825482887157,0.24233270289123854,0.6521491591293033,303,283,emb16_g128_e64_mean,35729
0.6864686468646864,0.6643109540636042,1.0,0.8432343234323433,0.6184902626885833,0.18781214785825776,0.2390927915820981,0.4419965835718008,0.4552558454761098,0.2285147093533485,0.6671067444306396,303,283,emb32_g32_e16_mean,3441
0.6798679867986799,0.6643109540636042,1.0,0.8399339933993399,0.6832299146911885,0.23517085052109024,0.19898938158951174,0.4388326406478882,0.5432056929854288,0.33163063036889656,0.6926743590792414,303,283,emb32_g64_e32_mean,10817
0.6831683168316832,0.6643109540636042,1.0,0.8415841584158416,0.564250481625398,0.17534520207131338,0.14371576079047546,0.43941848418291873,0.43255506607929517,0.2183239392814071,0.6229685696438201,303,283,emb16_g32_e32_mean,3985
0.6600660066006601,0.6537102473498233,1.0,0.83003300330033,0.6827763275738203,0.23123344371648252,0.21203092261902962,0.6110336780548096,0.5132395798034565,0.25920817652680755,0.69408781319955,303,283,emb16_g128_e16_mean,23105
0.6633663366336634,0.6501766784452296,0.9966996699669967,0.8311331133113311,0.6755060639244692,0.190937372694435,0.26212611558413745,0.44341128550726794,0.4724466282616062,0.25556075983621435,0.6690982445435162,303,283,emb32_g64_e16_mean,8657
0.6633663366336634,0.6466431095406361,1.0,0.8316831683168316,0.602057678668019,0.18594454495399923,0.187491764919986,0.44711444065684364,0.4802134869535751,0.2318751346303518,0.6658258536467851,303,283,emb16_g32_e64_mean,6257
0.6600660066006601,0.6466431095406361,1.0,0.83003300330033,0.6612113349803603,0.21278804012546948,0.19311733229128838,0.4510427912076314,0.5407184005421891,0.3088173507685548,0.6864574996158235,303,283,emb32_g64_e64_mean,15137
0.6633663366336634,0.6431095406360424,1.0,0.8316831683168316,0.6186372162067261,0.16860777036764407,0.2602694538166814,0.44442340083744214,0.46513724161301256,0.24009582449199374,0.6516722289740843,303,283,emb32_g32_e64_mean,6849
0.6501650165016502,0.6360424028268551,1.0,0.8250825082508251,0.6843356798977742,0.22633709889141987,0.20960576394603597,0.44521088732613456,0.6452660115215182,0.39292166905943493,0.6907278830462164,303,283,emb16_g64_e16_mean,7553
0.6435643564356436,0.6254416961130742,1.0,0.8217821782178217,0.6517344287077192,0.21165523596622238,0.16706527272860214,0.4308166387604504,0.4870721789223991,0.2511664894323802,0.6849757772270996,303,283,emb32_g128_e32_mean,29441
0.6336633663366337,0.6219081272084805,1.0,0.8168316831683168,0.6886659736680513,0.24296024466490493,0.1370996631214722,0.4601544737815857,0.46923415791257206,0.2335784450136067,0.6954463334760257,303,283,emb32_g128_e16_mean,25233
0.6435643564356436,0.6219081272084805,0.9933993399339934,0.8206820682068207,0.5653591691439498,0.1636488493597529,0.10929905276487373,0.44186914364496865,0.4591799390037275,0.23592044449024557,0.5933109808086169,303,283,emb32_g128_e64_mean,37857
0.6435643564356436,0.6219081272084805,1.0,0.8217821782178217,0.645235540253101,0.21053763142108303,0.17061348982376628,0.4293855137013375,0.4928702134869536,0.23451354796164606,0.6852104633358052,303,283,emb32_g32_e32_mean,4577
0.6270627062706271,0.6183745583038869,1.0,0.8135313531353136,0.6431644884961667,0.20744639624500966,0.1466457024954333,0.432341884289469,0.5722568620806506,0.2988242868489323,0.6823743604394076,303,283,emb16_g64_e32_mean,9713
0.6138613861386139,0.6007067137809188,1.0,0.806930693069307,0.589169115369076,0.17071313253256562,0.13267331759725076,0.4446074470229771,0.5449949169772959,0.27729338714361007,0.6162766119336137,303,283,emb16_g128_e32_mean,27313
0.6237623762376238,0.5971731448763251,1.0,0.8118811881188119,0.6904637127032768,0.24122733336646,0.13581133606803697,0.45062522454695264,0.41997966790918334,0.21546277437247696,0.6944051695735541,303,283,emb16_g32_e16_mean,2849
