variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb8_g16_e256_mean,10,5,10569,0.7072164948453609,0.7081476302006968,0.999195757309962,0.8281860660045581,0.7114624505928854,5335,5060
emb8_g16_e256_mean,20,5,10569,0.6112514351320322,0.6138985002808084,0.9966693330838793,0.7584106533144521,0.5884805837894188,4355,3837
emb8_g16_e256_mean,30,5,10569,0.5533653846153846,0.5559045515461155,0.9974823559426883,0.7127663966719867,0.5078763127187864,4160,3428
