wariant,runs,acc_bub_mean,acc_bub_std,acc_dec_mean,acc_dec_std,brier_mean,brier_std,ece_mean,ece_std
Bez LSTM,3,0.47,0.1,0.58,0.05,0.21,0.03,0.15,0.08
Z LSTM,3,0.39,0.18,0.57,0.06,0.21,0.02,0.19,0.03
