epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,augmented_train
1,0.7514862676402582,0.6231884057971014,0.609375,1.0,0.8115942028985508,0.6883392372856969,0.2275506275845455,0.20581638208334,0.4469403624534607,0.6106739651043449,0.34781137378604876,0.6894801708235256,69,64,20,3,salmonella,emb16_g64_e64_mean,False
2,0.6922541835541541,0.6521739130434783,0.625,1.0,0.8260869565217391,0.6941407746162968,0.2297206820115093,0.19318825999895722,0.45632657408714294,0.4054054054054055,0.25573558378555267,0.6891008036724036,69,64,20,3,salmonella,emb16_g64_e64_mean,False
3,0.6891072909803702,0.5942028985507246,0.578125,1.0,0.7971014492753623,0.6803725806699283,0.2304079920908798,0.138502387896828,0.44959700107574463,0.7198654350553084,0.4471198073169188,0.6911893409231434,69,64,20,3,salmonella,emb16_g64_e64_mean,False
4,0.7030128558064073,0.6086956521739131,0.578125,1.0,0.8043478260869565,0.6846732816834381,0.22498892943110765,0.18864872922068052,0.4516440212726593,0.42559014710913445,0.22466228756094278,0.6898695092270339,69,64,20,3,salmonella,emb16_g64_e64_mean,False
5,0.7025446413355695,0.6086956521739131,0.578125,1.0,0.8043478260869565,0.6968191780041957,0.2191575298303563,0.2253508338893669,0.44568774849176407,0.4729159539286122,0.29318969245624305,0.6880313417185908,69,64,20,3,salmonella,emb16_g64_e64_mean,False
6,0.6900747348540615,0.5942028985507246,0.578125,1.0,0.7971014492753623,0.6795702490253724,0.23084412146675548,0.13923709116120267,0.4552146792411804,0.6826890181320561,0.4261781455049348,0.6918963599896085,69,64,20,3,salmonella,emb16_g64_e64_mean,False
7,0.683907578447806,0.6376811594202898,0.609375,1.0,0.8188405797101449,0.6722943445910579,0.2277138939696298,0.17836676214052288,0.45637504871074974,0.6751625042764283,0.4106425592940677,0.6915423153103262,69,64,20,3,salmonella,emb16_g64_e64_mean,False
8,0.6802198486264452,0.6231884057971014,0.59375,1.0,0.8115942028985508,0.6773205667302229,0.22198693921055856,0.19960868272228516,0.4554303938692267,0.42935340403694827,0.24159429488899475,0.6900307276974553,69,64,20,3,salmonella,emb16_g64_e64_mean,False
9,0.6838115384741423,0.6376811594202898,0.625,1.0,0.8188405797101449,0.6768071314562922,0.22189145981677943,0.2158682454323423,0.4530461490154266,0.6949481126696316,0.4362313145531644,0.6901297707488572,69,64,20,3,salmonella,emb16_g64_e64_mean,False
10,0.6773803764705488,0.6086956521739131,0.578125,1.0,0.8043478260869565,0.6737074584200762,0.21700918719651963,0.21369391463804935,0.44873516196789953,0.4950963621849698,0.28231595091276646,0.6891855372898821,69,64,20,3,salmonella,emb16_g64_e64_mean,False
11,0.6870430623919037,0.6231884057971014,0.59375,1.0,0.8115942028985508,0.6782973071803218,0.20726986030398445,0.2566249582214632,0.44797497034072875,0.3496407800205269,0.19078246412102992,0.6840188131816145,69,64,20,3,salmonella,emb16_g64_e64_mean,False
12,0.6832882102236196,0.6376811594202898,0.609375,1.0,0.8188405797101449,0.6683222513267959,0.21146427916210392,0.23293149212132325,0.4447570780049199,0.6700307902839548,0.4178846937532321,0.6876750337904778,69,64,20,3,salmonella,emb16_g64_e64_mean,False
13,0.673354088198891,0.6231884057971014,0.59375,1.0,0.8115942028985508,0.6701191313888716,0.20668627809176784,0.2570564431556757,0.4381045654967979,0.3955411107309842,0.2212644479554267,0.685790441174438,69,64,20,3,salmonella,emb16_g64_e64_mean,False
14,0.6839234930648295,0.6086956521739131,0.59375,1.0,0.8043478260869565,0.6772930254970772,0.21038268612693184,0.2337977221046669,0.44370066871245706,0.44087125099783325,0.26693040140638313,0.68676617698393,69,64,20,3,salmonella,emb16_g64_e64_mean,False
15,0.6724562779378467,0.6231884057971014,0.609375,1.0,0.8115942028985508,0.6768021453981814,0.2095213616244928,0.21691656630972164,0.4387475003798803,0.6229900786862812,0.3824640147906616,0.6850299005923064,69,64,20,3,salmonella,emb16_g64_e64_mean,False
16,0.681382894869728,0.6231884057971014,0.609375,1.0,0.8115942028985508,0.6854903900968856,0.19911818980620352,0.24633647631043973,0.43423243669363165,0.35579883681149505,0.1951395243522519,0.6790215204591337,69,64,20,3,salmonella,emb16_g64_e64_mean,False
17,0.6776140540926676,0.6231884057971014,0.59375,1.0,0.8115942028985508,0.6541426229304161,0.20521583206757535,0.25496106346448266,0.4275705284542508,0.6005815942524804,0.3733701536125067,0.6853674097337584,69,64,20,3,salmonella,emb16_g64_e64_mean,False
