epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,augmented_train
1,0.709417958522645,0.5212765957446809,0.49411764705882355,1.0,0.7606382978723404,0.6890329699567024,0.2173757339794774,0.18623425335960186,0.4422479503684574,0.3347491848882774,0.1660630184904739,0.6870353133120435,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
2,0.6738926298424222,0.5319148936170213,0.49411764705882355,1.0,0.7659574468085106,0.6539218146750267,0.19103226714878246,0.18946457685942342,0.449723932478163,0.34647482875175734,0.16882238302713942,0.6629829904500474,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
3,0.6443990153685868,0.5,0.4588235294117647,1.0,0.75,0.6499201695811241,0.17284564686193185,0.22073252610069644,0.45339927275975545,0.3379198947085041,0.17009420750782436,0.6330784844591263,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
4,0.6352466470664154,0.5319148936170213,0.5058823529411764,1.0,0.7659574468085106,0.6504063855737765,0.16593038987330297,0.23731609291218697,0.4469117522239685,0.38865125183213184,0.18741295503173364,0.6133526812525506,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
5,0.6314378347555677,0.5212765957446809,0.49411764705882355,1.0,0.7606382978723404,0.650692848788396,0.1633433240482949,0.22867487497786254,0.4530535787343979,0.4421046334240675,0.19876199321313745,0.5927913023674107,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
6,0.6190882434435439,0.5638297872340425,0.5411764705882353,1.0,0.7819148936170213,0.6544953781747299,0.15600963909690344,0.21688453425118262,0.44642243640763424,0.404983398641979,0.18673744275212842,0.5816370486777197,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
7,0.6076740506812853,0.5425531914893617,0.5176470588235295,1.0,0.7712765957446809,0.7188229610164466,0.15638885256176832,0.2449730003965979,0.44960134169634647,0.38640782507253746,0.18174677638351872,0.5681798170578289,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
8,0.6018753864490984,0.6063829787234043,0.5764705882352941,1.0,0.8031914893617021,0.6857604264489752,0.1486238773193873,0.2774861848992395,0.4466401573858763,0.4498519338338668,0.20754279593833175,0.5687285922616324,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
9,0.601892722205618,0.5638297872340425,0.5294117647058824,1.0,0.7819148936170213,0.7511594141506066,0.14325712009907857,0.25698508724924485,0.4464712723305351,0.40181268882175225,0.19322005652902924,0.5569966185151877,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
10,0.5884953439797307,0.574468085106383,0.5411764705882353,1.0,0.7872340425531915,0.7607191475019639,0.14486134423920963,0.2554600268597417,0.4506407335400581,0.41736711435494,0.19153565854590748,0.54712093700661,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
11,0.5858659425291075,0.5531914893617021,0.5294117647058824,1.0,0.776595744680851,0.7732830132443733,0.13775626378591144,0.22449238300001484,0.4491969565550486,0.4559839669767581,0.20558941996619112,0.5400541769575942,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
12,0.571679882950218,0.5425531914893617,0.5058823529411764,1.0,0.7712765957446809,0.7707313352296277,0.1319986878991207,0.25799103181603605,0.4456203264348647,0.4402500673028028,0.20036131254559986,0.5350964735607316,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
13,0.5636502555442061,0.5531914893617021,0.5176470588235295,1.0,0.776595744680851,0.8112990293718957,0.1317684508477779,0.20536782072938764,0.44043373862902324,0.411354730639227,0.19208748276041504,0.5316488297463907,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
14,0.5592588637398694,0.5425531914893617,0.5176470588235295,1.0,0.7712765957446809,0.8848676967648709,0.1390281812671283,0.23355082364902588,0.4410611515243848,0.43028925249020367,0.19446149669260776,0.5328008123608324,94,85,20,2,klebsiella,emb16_g64_e64_mean,True
