epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,augmented_train
1,0.7490819435925025,0.5,0.4823529411764706,1.0,0.75,0.6837502526158982,0.22749926623201944,0.09523878262398093,0.4302034378051758,0.7332715144626246,0.4201599381179401,0.6854932644265763,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
2,0.7190099997941813,0.5106382978723404,0.4823529411764706,1.0,0.7553191489361702,0.6955147588506658,0.21952607729097456,0.11226337767661884,0.4539750814437866,0.36696479315605274,0.18839876732946878,0.6859671974435766,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
3,0.6962057725428468,0.6063829787234043,0.6,1.0,0.8031914893617021,0.678164782042199,0.22779708649369398,0.1625453880492677,0.4544634868701299,0.7947114953187162,0.4903809599353417,0.689313438978601,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
4,0.6943567135856722,0.648936170212766,0.611764705882353,1.0,0.824468085106383,0.6920906765029785,0.2291784512500334,0.18523599857345546,0.441440612077713,0.2628697915108731,0.15175064799992768,0.688517191942702,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
5,0.7236255454003677,0.6276595744680851,0.611764705882353,1.0,0.8138297872340425,0.6796906295608967,0.22962784053077506,0.17586068460281865,0.45782592296600344,0.6512518321318537,0.40450780513992635,0.690183863994923,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
6,0.6937643641593473,0.6063829787234043,0.5882352941176471,1.0,0.8031914893617021,0.6826404358478303,0.228020684973793,0.1533251582308018,0.43584493547677994,0.37665639675750057,0.17796209826149734,0.6901312698709204,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
7,0.6994630610382797,0.5851063829787234,0.5647058823529412,1.0,0.7925531914893617,0.6712284455908105,0.21972317897462793,0.12386791915335557,0.4514601945877075,0.6134725255002841,0.38025532507080484,0.6857073021695969,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
8,0.6973183720437206,0.6063829787234043,0.5647058823529412,1.0,0.8031914893617021,0.6769872561414191,0.22654710738996844,0.1409453492849431,0.44905103743076324,0.42580239897101496,0.19431453504593352,0.689333439507383,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
9,0.7044419088219637,0.5531914893617021,0.5411764705882353,1.0,0.776595744680851,0.6848185626750297,0.2202875833626445,0.12426388216145494,0.4544922755314753,0.6072208429302145,0.345492080325229,0.6850021697105245,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
10,0.716053448800806,0.5425531914893617,0.5058823529411764,1.0,0.7712765957446809,0.6806172738049893,0.21426339622644047,0.15177740632219522,0.44346143802007043,0.3206006401244354,0.162943722698821,0.6859176533019289,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
11,0.6937829014705599,0.574468085106383,0.5411764705882353,1.0,0.7872340425531915,0.6733469934539592,0.21733734990988451,0.13506960583494065,0.448587566614151,0.623971762735186,0.37741182733246464,0.6867015583718077,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
12,0.6829603301065347,0.574468085106383,0.5411764705882353,1.0,0.7872340425531915,0.6795681778420793,0.2156989987390717,0.17042104202382108,0.44069933891296387,0.29541443570338904,0.15777271322668704,0.6857448454867018,94,85,20,2,klebsiella,emb16_g64_e64_mean,False
