epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,augmented_train
1,0.6727695778202303,0.6086956521739131,0.59375,1.0,0.8043478260869565,0.6475905082795931,0.17611204818329781,0.23939233327257461,0.4462463706731796,0.3002052685596989,0.1637561754898557,0.655373194511386,69,64,20,3,salmonella,emb16_g64_e64_mean,True
2,0.6039681313027997,0.5797101449275363,0.5625,1.0,0.7898550724637681,0.681780560940936,0.1483003912997682,0.19048222921707708,0.4491889178752899,0.2956437450108336,0.16207394489907648,0.5703653636240009,69,64,20,3,salmonella,emb16_g64_e64_mean,True
3,0.5734173662930707,0.6231884057971014,0.609375,1.0,0.8115942028985508,0.6238852707210226,0.15040007017206544,0.21968430059327593,0.44308941201730206,0.4302657087467214,0.21509141807710447,0.5596838926059612,69,64,20,3,salmonella,emb16_g64_e64_mean,True
4,0.5557086936942939,0.6086956521739131,0.59375,1.0,0.8043478260869565,0.6179612042530831,0.14954292479331377,0.21575440277439956,0.4464789032936096,0.39154977762572696,0.20702560791317468,0.5451243719275015,69,64,20,3,salmonella,emb16_g64_e64_mean,True
5,0.5470999052038431,0.6521739130434783,0.640625,1.0,0.8260869565217391,0.638950446001389,0.1367836425583252,0.25047455267791735,0.44140324989954627,0.3974797582392519,0.21161152808971873,0.5226083573196894,69,64,20,3,salmonella,emb16_g64_e64_mean,True
6,0.5367083042307982,0.6521739130434783,0.640625,1.0,0.8260869565217391,0.6114645483962639,0.13996733386442292,0.2536986856788829,0.4392788350582123,0.5024518189075151,0.24075988401680523,0.5194716205334534,69,64,20,3,salmonella,emb16_g64_e64_mean,True
7,0.528608129360562,0.6376811594202898,0.625,1.0,0.8188405797101449,0.6747190497062284,0.12742774334163467,0.23241095030612804,0.4353890527378429,0.44030106055422513,0.21717017570961625,0.49923895020375325,69,64,20,3,salmonella,emb16_g64_e64_mean,True
8,0.5177721511543124,0.5942028985507246,0.578125,1.0,0.7971014492753623,0.7174823008331325,0.1326235145818494,0.18399471613288304,0.434919622209337,0.473600182460942,0.23307231472875795,0.5007818112929311,69,64,20,3,salmonella,emb16_g64_e64_mean,True
9,0.5029663286203669,0.5797101449275363,0.5625,1.0,0.7898550724637681,0.7201635677048361,0.1328235461644067,0.1988028673905596,0.4255243729461323,0.45729273577374846,0.22473452377056238,0.5032274414602991,69,64,20,3,salmonella,emb16_g64_e64_mean,True
10,0.4912397209355521,0.6376811594202898,0.625,1.0,0.8188405797101449,0.7200549959174353,0.13588856483897124,0.2002126754561449,0.43566366800895107,0.470806249287262,0.2361862848812415,0.49858228951199923,69,64,20,3,salmonella,emb16_g64_e64_mean,True
11,0.4895142730022735,0.5652173913043478,0.53125,1.0,0.782608695652174,0.7487247419108773,0.12487651144412105,0.22167587893457402,0.4313030174145332,0.5087239137872049,0.2557728186812355,0.47626603823796293,69,64,20,3,salmonella,emb16_g64_e64_mean,True
12,0.4710668848927523,0.5942028985507246,0.578125,1.0,0.7971014492753623,0.8244872780988192,0.12796166127058115,0.20114190741984153,0.43105770945549016,0.46510434485118035,0.2443730207089781,0.48564931729534705,69,64,20,3,salmonella,emb16_g64_e64_mean,True
13,0.4628233663875786,0.6086956521739131,0.578125,1.0,0.8043478260869565,0.8231544584593783,0.1252011188191226,0.21085377362887023,0.4341000070174535,0.45638043106397536,0.22797694480033268,0.4846540797713807,69,64,20,3,salmonella,emb16_g64_e64_mean,True
14,0.4530918700526039,0.6231884057971014,0.609375,1.0,0.8115942028985508,0.8418265013182182,0.12244199526593844,0.191344749532605,0.4409724175930023,0.49612270498346456,0.24877337654485937,0.4768518090925787,69,64,20,3,salmonella,emb16_g64_e64_mean,True
15,0.44092838784358496,0.6086956521739131,0.578125,1.0,0.8043478260869565,0.9238841106871277,0.1190630643689364,0.23301321682621606,0.43594925850629807,0.48523206751054854,0.24504410681136746,0.4825774223970019,69,64,20,3,salmonella,emb16_g64_e64_mean,True
16,0.4365742660266199,0.6231884057971014,0.59375,1.0,0.8115942028985508,0.973320610992703,0.11243775791549791,0.1907910751849541,0.4307442307472229,0.4704641350210971,0.23939776306311905,0.46647972254615944,69,64,20,3,salmonella,emb16_g64_e64_mean,True
17,0.42752164788838926,0.5797101449275363,0.546875,1.0,0.7898550724637681,0.9835559518799526,0.11526407849762091,0.21245774213278795,0.4408744126558304,0.4915041623902383,0.25145042034768755,0.47577235819014696,69,64,20,3,salmonella,emb16_g64_e64_mean,True
18,0.41647048618838317,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.0050647323634914,0.10642344521400311,0.19522183504907603,0.4400301064763751,0.49292963849925875,0.24737765731671973,0.45507711068267465,69,64,20,3,salmonella,emb16_g64_e64_mean,True
19,0.40689476081265935,0.5797101449275363,0.546875,1.0,0.7898550724637681,1.0472331012115106,0.11487472329967108,0.221909965171697,0.44866975396871567,0.4971490477819592,0.2457202607500323,0.46629043539665443,69,64,20,3,salmonella,emb16_g64_e64_mean,True
20,0.4023427204605611,0.5797101449275363,0.546875,1.0,0.7898550724637681,1.1206192318417783,0.10826718774817705,0.1955200999621306,0.4391748479434422,0.49235944805565063,0.24319736969372632,0.4534534981935021,69,64,20,3,salmonella,emb16_g64_e64_mean,True
21,0.3952059339893871,0.6086956521739131,0.578125,1.0,0.8043478260869565,1.1089094135423496,0.10153912662323983,0.20062859300505603,0.44311676546931267,0.5282244269586042,0.2552854010765052,0.4475397597036213,69,64,20,3,salmonella,emb16_g64_e64_mean,True
22,0.3908215003226996,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.176360172136316,0.09716441872844692,0.17415163571636016,0.43426769971847534,0.4940130003421143,0.2363740266341392,0.42494069917609745,69,64,20,3,salmonella,emb16_g64_e64_mean,True
23,0.3836998143051741,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.2726565366147375,0.09205466188728603,0.1941132117341264,0.4310948004325231,0.4782757440985289,0.2314659299239928,0.415179101027508,69,64,20,3,salmonella,emb16_g64_e64_mean,True
24,0.3749254258849052,0.5652173913043478,0.53125,1.0,0.782608695652174,1.2767187240610511,0.10157638651756636,0.192292088631265,0.44731535230364117,0.4913901243015167,0.23722374281414635,0.426952517637736,69,64,20,3,salmonella,emb16_g64_e64_mean,True
25,0.36342423347430136,0.5652173913043478,0.53125,1.0,0.782608695652174,1.3824298778396322,0.09134541755452591,0.2063223958713589,0.4385202271597726,0.45626639297525373,0.2246804994053085,0.41571001736167495,69,64,20,3,salmonella,emb16_g64_e64_mean,True
26,0.35717808338438545,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.3053525184653554,0.08877841363027515,0.17562920248967168,0.42863964182989933,0.47154749686395253,0.2272146834626106,0.4144693321366148,69,64,20,3,salmonella,emb16_g64_e64_mean,True
27,0.35518955426498866,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.3232847751245058,0.09167358841706805,0.17790613684268683,0.4366304650902748,0.4866575436195689,0.23023278296760033,0.4139745668864432,69,64,20,3,salmonella,emb16_g64_e64_mean,True
28,0.3447114119437457,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.3693034560232908,0.08852146556823053,0.15893511442836467,0.44199150800704956,0.4810126582278481,0.22845417837211401,0.4100956025126293,69,64,20,3,salmonella,emb16_g64_e64_mean,True
29,0.33928144550349565,0.5507246376811594,0.515625,1.0,0.7753623188405797,1.5033532129255562,0.08052873455309299,0.15683952566158796,0.4380762696266174,0.47063519215417954,0.22258886505101627,0.3843665713784006,69,64,20,3,salmonella,emb16_g64_e64_mean,True
30,0.3318918557837779,0.5652173913043478,0.53125,1.0,0.782608695652174,1.4479911425885692,0.0820184927363622,0.15867743301148168,0.457492858171463,0.4843767818451363,0.23004100750068698,0.3884961370847407,69,64,20,3,salmonella,emb16_g64_e64_mean,True
31,0.32371730028051665,0.6231884057971014,0.59375,1.0,0.8115942028985508,1.5242972434503388,0.08310585980933537,0.17682465703059452,0.4353044331073761,0.4643630972744897,0.22298991181140623,0.3992326589174984,69,64,20,3,salmonella,emb16_g64_e64_mean,True
32,0.3163088386812313,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.3883048925915706,0.07574493148233584,0.15017064679052702,0.44359830021858215,0.48671456266392976,0.228921930840083,0.3832861130589341,69,64,20,3,salmonella,emb16_g64_e64_mean,True
33,0.31946063228176924,0.5507246376811594,0.515625,1.0,0.7753623188405797,1.451546226438432,0.07752263432042891,0.182984227587442,0.43498656153678894,0.48203900102634284,0.22725939566142053,0.3911184833645039,69,64,20,3,salmonella,emb16_g64_e64_mean,True
34,0.3140031524660711,0.5652173913043478,0.53125,1.0,0.782608695652174,1.7041684431702024,0.07437070109350304,0.16965274444605793,0.4463680812290737,0.46282358307674765,0.22375142281857022,0.3628826898596169,69,64,20,3,salmonella,emb16_g64_e64_mean,True
35,0.30905785499743815,0.5797101449275363,0.5625,1.0,0.7898550724637681,1.5730653570769892,0.08287869154319856,0.1899874609071773,0.45689557989438373,0.477933629832364,0.22850466237045933,0.3961353008494232,69,64,20,3,salmonella,emb16_g64_e64_mean,True
36,0.30334036233584816,0.5652173913043478,0.53125,1.0,0.782608695652174,1.5474052296634602,0.07475064915903105,0.17358340400584546,0.4546108643213908,0.48004333447371417,0.2303689564981144,0.3768317566225939,69,64,20,3,salmonella,emb16_g64_e64_mean,True
37,0.2939925854594794,0.5652173913043478,0.53125,1.0,0.782608695652174,1.6842290326170244,0.06974918060746245,0.15213805008207534,0.44716766476631165,0.4862013912646824,0.23111812155867809,0.3699018613819558,69,64,20,3,salmonella,emb16_g64_e64_mean,True
38,0.29234105243656117,0.6231884057971014,0.59375,1.0,0.8115942028985508,1.685427498569217,0.0754084699193828,0.13337196320956707,0.44724740982055666,0.46647280191583995,0.22297920283413625,0.3369374263868926,69,64,20,3,salmonella,emb16_g64_e64_mean,True
39,0.2865761757378282,0.6521739130434783,0.625,1.0,0.8260869565217391,1.5899681469103146,0.07955620488429241,0.14838695247401282,0.4584347903728485,0.4775915155661991,0.22716991944305398,0.367964092767281,69,64,20,3,salmonella,emb16_g64_e64_mean,True
40,0.2807168110242483,0.5797101449275363,0.546875,1.0,0.7898550724637681,1.6544213277440283,0.08287353605046935,0.17111694547044046,0.434412944316864,0.491276086212795,0.23317742521058915,0.3780933616229024,69,64,20,3,salmonella,emb16_g64_e64_mean,True
41,0.28453185143269805,0.6376811594202898,0.609375,1.0,0.8188405797101449,1.647592956820941,0.07533198639808439,0.15694002330090617,0.4517591744661331,0.49412703843083583,0.23440850342544903,0.3642144993367781,69,64,20,3,salmonella,emb16_g64_e64_mean,True
42,0.2738684942150187,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.9220091489239555,0.07748229817159065,0.15326400840654128,0.44877121448516843,0.4914471433458775,0.23928315942755887,0.3456084435322311,69,64,20,3,salmonella,emb16_g64_e64_mean,True
43,0.27363131967967286,0.5652173913043478,0.546875,1.0,0.782608695652174,1.794548199941112,0.07478133676966578,0.1681688223388451,0.4484211951494217,0.49709202873759833,0.24015536721729502,0.35598783124588046,69,64,20,3,salmonella,emb16_g64_e64_mean,True
44,0.269012587475264,0.5652173913043478,0.53125,1.0,0.782608695652174,1.8202507179285945,0.07429420102593187,0.15341262922004756,0.4440227076411247,0.4867715817082906,0.2393168827124441,0.35755782226467814,69,64,20,3,salmonella,emb16_g64_e64_mean,True
45,0.26656012911598165,0.5942028985507246,0.5625,1.0,0.7971014492753623,1.8759374496755055,0.06552152891318108,0.15169221571040511,0.44688065350055695,0.480100353518075,0.2330300255815671,0.33848037483167587,69,64,20,3,salmonella,emb16_g64_e64_mean,True
46,0.2580657480370396,0.6086956521739131,0.578125,1.0,0.8043478260869565,1.9248979440967642,0.06405259454776674,0.14637356415535221,0.44198256731033325,0.4751967157030448,0.23140653184404714,0.32592747731265886,69,64,20,3,salmonella,emb16_g64_e64_mean,True
