epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,augmented_train
1,0.7251328174340523,0.5632183908045977,0.569620253164557,1.0,0.7816091954022989,0.695526452242643,0.21364206419118761,0.2257527796358898,0.45681088666121167,0.7101415641680204,0.4340689441577323,0.6839176073841665,87,79,20,1,ecoli,emb16_g64_e64_mean,False
2,0.6914662381061342,0.5632183908045977,0.5569620253164557,1.0,0.7816091954022989,0.6939642189563006,0.21659119845591948,0.25368590327514995,0.44952285715511864,0.440550785178309,0.2583749875351064,0.68889027354361,87,79,20,1,ecoli,emb16_g64_e64_mean,False
3,0.6994895206236666,0.5747126436781609,0.569620253164557,1.0,0.7873563218390804,0.6900168088660843,0.2127526031116467,0.2596470864339806,0.44822650064121594,0.3629999226425311,0.202273897595223,0.6868430376052856,87,79,20,1,ecoli,emb16_g64_e64_mean,False
4,0.6959860783800952,0.5977011494252874,0.5949367088607594,1.0,0.7988505747126436,0.6842607975691214,0.2116543037484202,0.23614410045503198,0.4508285194635391,0.6579639514195095,0.40540042454321124,0.6858383314362888,87,79,20,1,ecoli,emb16_g64_e64_mean,False
5,0.6890775939454178,0.5862068965517241,0.569620253164557,1.0,0.7931034482758621,0.6840642056931024,0.20917590700527708,0.2780504278067885,0.44561558216810226,0.45118743714705656,0.2691650830020601,0.686663250813539,87,79,20,1,ecoli,emb16_g64_e64_mean,False
6,0.6931139600190355,0.5747126436781609,0.5569620253164557,1.0,0.7873563218390804,0.6922104771452389,0.19872905234125085,0.287344080963354,0.4470731566349665,0.30633557669993033,0.17322976719357835,0.6800506741836153,87,79,20,1,ecoli,emb16_g64_e64_mean,False
7,0.6981690970517821,0.5747126436781609,0.5569620253164557,1.0,0.7873563218390804,0.6834277305109747,0.2008292556693881,0.2675842961360668,0.4402536430529186,0.6426858513189448,0.3962138484349072,0.6825342438686853,87,79,20,1,ecoli,emb16_g64_e64_mean,False
8,0.6864392990494467,0.5747126436781609,0.569620253164557,1.0,0.7873563218390804,0.6835712684297014,0.20308147373951577,0.2935919987744298,0.44864649006298607,0.3785874526185503,0.19837454388436115,0.6851826906204224,87,79,20,1,ecoli,emb16_g64_e64_mean,False
9,0.6932669968206715,0.5862068965517241,0.569620253164557,1.0,0.7931034482758621,0.6807681325523333,0.20156039430618833,0.29165832578450784,0.4412295491464676,0.5596812872282819,0.3371903980802995,0.6846643049141456,87,79,20,1,ecoli,emb16_g64_e64_mean,False
10,0.6863453406975863,0.5862068965517241,0.569620253164557,1.0,0.7931034482758621,0.6755742485495819,0.19884448797247997,0.28895128047329255,0.4389569014310837,0.5232072406590856,0.31478391831927344,0.6835352244048283,87,79,20,1,ecoli,emb16_g64_e64_mean,False
