epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.6961804445678665,0.64,0.6413043478260869,1.0,0.82,0.6953452000021935,0.22917538195903275,0.2147105643153191,0.4629996021588644,0.6704756842944459,0.45193548991662413,0.6899237781763077,100,92,10,1,ecoli,emb16_g64_e64_mean
2,0.6858456026167559,0.63,0.6195652173913043,1.0,0.815,0.6900943261384964,0.22538075843203986,0.24003752827644348,0.45496920496225357,0.5623615909292232,0.38928363734757493,0.6906565141677856,100,92,10,1,ecoli,emb16_g64_e64_mean
3,0.6788014086040519,0.63,0.6195652173913043,1.0,0.815,0.6840514463186264,0.21163401768415482,0.26552400559186934,0.4417786405932519,0.4445920807866065,0.2927313109745723,0.6877493125200271,100,92,10,1,ecoli,emb16_g64_e64_mean
4,0.6687113418381595,0.63,0.6304347826086957,1.0,0.815,0.6853831252455711,0.20787617314875959,0.2511296796798706,0.44022638930214775,0.5663034812649482,0.3988800112190957,0.6856539249420166,100,92,10,1,ecoli,emb16_g64_e64_mean
5,0.6586581786003338,0.62,0.6086956521739131,1.0,0.81,0.678355433344841,0.2039707478806733,0.2758693215250969,0.4349250793457031,0.46270705996988215,0.31952859550546353,0.6853036165237427,100,92,10,1,ecoli,emb16_g64_e64_mean
6,0.6534466890893744,0.61,0.6086956521739131,1.0,0.805,0.6739490699768066,0.20063077829560189,0.2712574392557144,0.4390279930084944,0.49078749224909207,0.33130656588018315,0.6836249786615372,100,92,10,1,ecoli,emb16_g64_e64_mean
7,0.6432644274813184,0.63,0.6304347826086957,1.0,0.815,0.6742223384976387,0.19515887601333642,0.28348541557788853,0.44494821475102353,0.5712197714589423,0.40356928508245615,0.6797712230682373,100,92,10,1,ecoli,emb16_g64_e64_mean
8,0.6344142667640595,0.62,0.6086956521739131,1.0,0.81,0.6665437749028206,0.19005632324392452,0.29629103153944014,0.4411008165163152,0.5090353441403136,0.3518650657996539,0.6775304758548737,100,92,10,1,ecoli,emb16_g64_e64_mean
9,0.6286691105577368,0.6,0.5978260869565217,1.0,0.8,0.6527757719159126,0.19020793999570101,0.24799966663122175,0.43906262144446373,0.46678182301355303,0.3028679007282832,0.6773925125598907,100,92,10,1,ecoli,emb16_g64_e64_mean
10,0.6178695965095384,0.62,0.6195652173913043,1.0,0.81,0.6568342447280884,0.17713458010414526,0.2693633571267128,0.43726019905163693,0.5640003543272212,0.3955384347099551,0.6677338004112243,100,92,10,1,ecoli,emb16_g64_e64_mean
11,0.6086300441499293,0.62,0.6086956521739131,1.0,0.81,0.6477742984890937,0.17830289745683725,0.25977571010589595,0.4380374848842621,0.4754185490300293,0.30413556804751707,0.6664960837364197,100,92,10,1,ecoli,emb16_g64_e64_mean
12,0.5982835215224317,0.61,0.5978260869565217,1.0,0.805,0.6304670025408268,0.1763168787258076,0.2475515729188919,0.44224380529843843,0.4617769510142617,0.293237237964743,0.663828946352005,100,92,10,1,ecoli,emb16_g64_e64_mean
13,0.5861741461697415,0.63,0.6304347826086957,1.0,0.815,0.6301179882884026,0.17287775695548757,0.2301859478652477,0.43330432386959306,0.5665692266808398,0.3999012246680243,0.6592297911643982,100,92,10,1,ecoli,emb16_g64_e64_mean
14,0.5767232707971652,0.61,0.6086956521739131,1.0,0.805,0.6220690549910068,0.1667924541562239,0.23930666983127596,0.43980835165296284,0.4916733103020639,0.32674637332516293,0.6501752468943596,100,92,10,1,ecoli,emb16_g64_e64_mean
15,0.5741632357856931,0.66,0.6304347826086957,1.0,0.83,0.6184933769702912,0.16471986241247807,0.264929812848568,0.44691088497638704,0.45114713437859866,0.28063490316917644,0.6430497670173645,100,92,10,1,ecoli,emb16_g64_e64_mean
16,0.5583670247588637,0.64,0.6413043478260869,1.0,0.82,0.6124093175679445,0.16226457596217003,0.25064408615231515,0.4429836670557658,0.534635485871202,0.35717808537728546,0.6366841647028924,100,92,10,1,ecoli,emb16_g64_e64_mean
17,0.5511858298228337,0.63,0.6304347826086957,1.0,0.815,0.6002881589531899,0.16509303688038166,0.21321351975202565,0.4466699610153834,0.5352112676056338,0.35357345439447546,0.6343492659926414,100,92,10,1,ecoli,emb16_g64_e64_mean
18,0.5443870021746708,0.63,0.6304347826086957,1.0,0.815,0.5889867697656155,0.16561235746717226,0.18409843549132346,0.4451092928647995,0.5508016653379396,0.37323209404138574,0.6315491414070129,100,92,10,1,ecoli,emb16_g64_e64_mean
19,0.5395139813423157,0.63,0.6413043478260869,1.0,0.815,0.5959135197103024,0.15716225364364278,0.21769052237272266,0.4452361936370532,0.5410576667552485,0.35483815236527083,0.6168687245249749,100,92,10,1,ecoli,emb16_g64_e64_mean
20,0.5358942521041667,0.66,0.6304347826086957,1.0,0.83,0.5917570343613625,0.15472531623972302,0.22276738926768305,0.44617052210701835,0.4903445832226061,0.30158471875451537,0.6106350414454937,100,92,10,1,ecoli,emb16_g64_e64_mean
21,0.5320075173702465,0.61,0.6195652173913043,1.0,0.805,0.5857835105806589,0.15517050592814452,0.1821686229109764,0.4526469906171163,0.5467269022942688,0.34607310403541824,0.6068788193166256,100,92,10,1,ecoli,emb16_g64_e64_mean
