epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.7347679272941922,0.550561797752809,0.5476190476190477,1.0,0.7752808988764045,0.7042629757289136,0.22534993620116256,0.10128125050262118,0.44683748483657837,0.7123132639203259,0.3802594427468776,0.6728303156207117,89,84,20,2,klebsiella,emb16_g64_e64_mean
2,0.6977063943140255,0.5955056179775281,0.5952380952380952,1.0,0.797752808988764,0.6975176168626613,0.22367941621726867,0.15538940662413495,0.4442955454190572,0.6744810192071397,0.3606902466626056,0.6746007187312908,89,84,20,2,klebsiella,emb16_g64_e64_mean
3,0.7206886516594738,0.5393258426966292,0.5119047619047619,1.0,0.7696629213483146,0.7010564397643791,0.21958147279103055,0.08830337996563216,0.4357669711112976,0.6053159154109811,0.3095755036939766,0.6731497693932458,89,84,20,2,klebsiella,emb16_g64_e64_mean
4,0.6970978264482866,0.6179775280898876,0.5952380952380952,1.0,0.8089887640449438,0.6871280013845208,0.23499090224285202,0.14136857631501185,0.43739701310793555,0.6368751212571945,0.2945089092511771,0.6916782829198944,89,84,20,2,klebsiella,emb16_g64_e64_mean
5,0.7190525839787832,0.5842696629213483,0.5714285714285714,1.0,0.7921348314606742,0.7509237381556396,0.21869830417081734,0.14737916369451567,0.45094919949769974,0.5240897626592511,0.24318321385139857,0.6664619954784264,89,84,20,2,klebsiella,emb16_g64_e64_mean
6,0.711906161515609,0.5842696629213483,0.5595238095238095,1.0,0.7921348314606742,0.7234689034966313,0.22265273840742414,0.10682300073251635,0.44881629943847656,0.6834378839811162,0.3545132924621674,0.6642425027205033,89,84,20,2,klebsiella,emb16_g64_e64_mean
7,0.7029606404511825,0.6179775280898876,0.5952380952380952,1.0,0.8089887640449438,0.6971055856916342,0.2280472569353857,0.1447183925114321,0.4434364438056946,0.4512061048955572,0.20111210939791346,0.6863100997517618,89,84,20,2,klebsiella,emb16_g64_e64_mean
8,0.6943461382611198,0.5955056179775281,0.5714285714285714,1.0,0.797752808988764,0.6840201619635807,0.23022625399989968,0.1268535269780105,0.46275271475315094,0.5567807023216711,0.2474483916734238,0.690768423375119,89,84,20,2,klebsiella,emb16_g64_e64_mean
9,0.6950716307444602,0.5955056179775281,0.5714285714285714,1.0,0.797752808988764,0.7006194599893656,0.22455552332746453,0.14984334703911556,0.447055846452713,0.46604798551380716,0.20597024274693587,0.683335664566983,89,84,20,2,klebsiella,emb16_g64_e64_mean
10,0.6979550027699204,0.5842696629213483,0.5595238095238095,1.0,0.7921348314606742,0.6834372866354631,0.22565808927402595,0.13395381944902826,0.4461607217788697,0.5573950721076117,0.29264731341249256,0.688171526689208,89,84,20,2,klebsiella,emb16_g64_e64_mean
11,0.6992079057308458,0.5730337078651685,0.5476190476190477,1.0,0.7865168539325843,0.6983032093456621,0.21746886697283885,0.10982879276355997,0.44833039695566346,0.5661255901183471,0.29624312372786826,0.6730158150698362,89,84,20,2,klebsiella,emb16_g64_e64_mean
12,0.6932250699641541,0.550561797752809,0.5238095238095238,1.0,0.7752808988764045,0.6813533460156301,0.22699480718962103,0.09171143341600224,0.45199527591466904,0.5059820215999482,0.26753343836833243,0.68871170952079,89,84,20,2,klebsiella,emb16_g64_e64_mean
