epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.7266974318662339,0.39,0.3804347826086957,1.0,0.695,0.7053991875052452,0.23396143382800857,0.1278025621175766,0.4664551019668579,0.6706971388076889,0.4528539874280595,0.6899885761737824,100,92,10,1,ecoli,emb16_g32_e32_mean
2,0.7029440292945275,0.37,0.34782608695652173,1.0,0.685,0.6954578125476837,0.24496902919584979,0.13783802568912504,0.4626159369945526,0.6555939410045176,0.41194497355567317,0.6929683154821396,100,92,10,1,ecoli,emb16_g32_e32_mean
3,0.6949837204972668,0.54,0.532608695652174,1.0,0.77,0.6935225966572761,0.24107840922607054,0.0669034999608994,0.465523362159729,0.5531047922756666,0.3516290165826367,0.6924643701314926,100,92,10,1,ecoli,emb16_g32_e32_mean
4,0.6918318767519392,0.59,0.5760869565217391,1.0,0.795,0.69343780875206,0.23872485280348538,0.13522905260324483,0.4540316045284271,0.5296306138719107,0.3468239453478586,0.6925068002939224,100,92,10,1,ecoli,emb16_g32_e32_mean
5,0.6895679188903266,0.64,0.6304347826086957,1.0,0.82,0.6934306174516678,0.23448200221518853,0.2202815631031991,0.4555833414196968,0.5751173708920188,0.41155383925227385,0.69197045981884,100,92,10,1,ecoli,emb16_g32_e32_mean
6,0.685815667894465,0.62,0.6195652173913043,1.0,0.81,0.6937135455012321,0.22891463652014893,0.23399807542562479,0.4554111361503601,0.5690052263265126,0.3999577102671644,0.6909208393096924,100,92,10,1,ecoli,emb16_g32_e32_mean
7,0.6827184701106958,0.63,0.6304347826086957,1.0,0.815,0.6930121031403541,0.22471584247768767,0.24901396602392195,0.45425744698597836,0.5947382407653469,0.42151100665910557,0.6898991084098816,100,92,10,1,ecoli,emb16_g32_e32_mean
8,0.6795719244776393,0.63,0.6304347826086957,1.0,0.815,0.6927363312244416,0.22212629975573905,0.2755921763181687,0.45111555978655815,0.5401275577996278,0.3662070629834469,0.6896385949850082,100,92,10,1,ecoli,emb16_g32_e32_mean
9,0.6784126985707932,0.64,0.6304347826086957,1.0,0.82,0.6944374042749405,0.2194875770039886,0.2725535219907761,0.44681230896995183,0.5217911241031091,0.35520691298964113,0.6886584895849228,100,92,10,1,ecoli,emb16_g32_e32_mean
10,0.6757671724409746,0.65,0.6413043478260869,1.0,0.825,0.6928135997056961,0.21588451439509004,0.28826743602752686,0.4469470310211182,0.5749402072814244,0.4026516292830957,0.687617329955101,100,92,10,1,ecoli,emb16_g32_e32_mean
